Year,LGA,Subgroup,Count
2022,Darebin,B322 Non-residential non-aggravated burglary,1
2022,Hume,B321 Residential non-aggravated burglary,9
2022,Hume,B322 Non-residential non-aggravated burglary,3
2022,Melbourne,B321 Residential non-aggravated burglary,1
2022,Melton,B321 Residential non-aggravated burglary,7
2022,Melton,B322 Non-residential non-aggravated burglary,5
2022,Nillumbik,B321 Residential non-aggravated burglary,3
2022,Nillumbik,B322 Non-residential non-aggravated burglary,3
2022,Whittlesea,B321 Residential non-aggravated burglary,4
2022,Whittlesea,B322 Non-residential non-aggravated burglary,2
2022,Wyndham,B321 Residential non-aggravated burglary,2
2022,Wyndham,B322 Non-residential non-aggravated burglary,4
2022,Alpine,B321 Residential non-aggravated burglary,1
2022,Bass Coast,B321 Residential non-aggravated burglary,4
2022,Bass Coast,B322 Non-residential non-aggravated burglary,4
2022,Baw Baw,B311 Residential aggravated burglary,1
2022,Baw Baw,B321 Residential non-aggravated burglary,1
2022,Baw Baw,B322 Non-residential non-aggravated burglary,1
2022,Benalla,B321 Residential non-aggravated burglary,2
2022,Benalla,B322 Non-residential non-aggravated burglary,4
2022,Boroondara,B322 Non-residential non-aggravated burglary,1
2022,East Gippsland,B321 Residential non-aggravated burglary,2
2022,East Gippsland,B322 Non-residential non-aggravated burglary,1
2022,Greater Shepparton,B321 Residential non-aggravated burglary,8
2022,Greater Shepparton,B322 Non-residential non-aggravated burglary,8
2022,Indigo,B312 Non-residential aggravated burglary,1
2022,Indigo,B321 Residential non-aggravated burglary,2
2022,Indigo,B322 Non-residential non-aggravated burglary,3
2022,Latrobe,B321 Residential non-aggravated burglary,3
2022,Latrobe,B322 Non-residential non-aggravated burglary,2
2022,Mansfield,B322 Non-residential non-aggravated burglary,3
2022,Mitchell,B321 Residential non-aggravated burglary,3
2022,Mitchell,B322 Non-residential non-aggravated burglary,6
2022,Moira,B311 Residential aggravated burglary,1
2022,Moira,B321 Residential non-aggravated burglary,4
2022,Moira,B322 Non-residential non-aggravated burglary,9
2022,Murrindindi,B321 Residential non-aggravated burglary,1
2022,Murrindindi,B322 Non-residential non-aggravated burglary,4
2022,South Gippsland,B321 Residential non-aggravated burglary,10
2022,South Gippsland,B322 Non-residential non-aggravated burglary,8
2022,Strathbogie,B311 Residential aggravated burglary,1
2022,Strathbogie,B321 Residential non-aggravated burglary,3
2022,Strathbogie,B322 Non-residential non-aggravated burglary,3
2022,Towong,B321 Residential non-aggravated burglary,2
2022,Wangaratta,B321 Residential non-aggravated burglary,3
2022,Wangaratta,B322 Non-residential non-aggravated burglary,2
2022,Wellington,B321 Residential non-aggravated burglary,12
2022,Wellington,B322 Non-residential non-aggravated burglary,6
2022,Whitehorse,B322 Non-residential non-aggravated burglary,1
2022,Wodonga,B311 Residential aggravated burglary,1
2022,Wodonga,B321 Residential non-aggravated burglary,1
2022,Wodonga,B322 Non-residential non-aggravated burglary,2
2022,Yarra Ranges,B321 Residential non-aggravated burglary,6
2022,Yarra Ranges,B322 Non-residential non-aggravated burglary,10
2022,Cardinia,B311 Residential aggravated burglary,1
2022,Cardinia,B321 Residential non-aggravated burglary,6
2022,Cardinia,B322 Non-residential non-aggravated burglary,4
2022,Casey,B321 Residential non-aggravated burglary,7
2022,Casey,B322 Non-residential non-aggravated burglary,3
2022,Frankston,B322 Non-residential non-aggravated burglary,1
2022,Greater Dandenong,B322 Non-residential non-aggravated burglary,1
2022,Kingston,B322 Non-residential non-aggravated burglary,1
2022,Mornington Peninsula,B321 Residential non-aggravated burglary,2
2022,Mornington Peninsula,B322 Non-residential non-aggravated burglary,3
2022,Ararat,B321 Residential non-aggravated burglary,4
2022,Ararat,B322 Non-residential non-aggravated burglary,1
2022,Ballarat,B311 Residential aggravated burglary,1
2022,Ballarat,B321 Residential non-aggravated burglary,2
2022,Ballarat,B322 Non-residential non-aggravated burglary,6
2022,Campaspe,B321 Residential non-aggravated burglary,10
2022,Campaspe,B322 Non-residential non-aggravated burglary,10
2022,Central Goldfields,B322 Non-residential non-aggravated burglary,2
2022,Colac-Otway,B321 Residential non-aggravated burglary,4
2022,Colac-Otway,B322 Non-residential non-aggravated burglary,2
2022,Corangamite,B321 Residential non-aggravated burglary,2
2022,Corangamite,B322 Non-residential non-aggravated burglary,1
2022,Gannawarra,B321 Residential non-aggravated burglary,1
2022,Gannawarra,B322 Non-residential non-aggravated burglary,1
2022,Glenelg,B311 Residential aggravated burglary,1
2022,Glenelg,B322 Non-residential non-aggravated burglary,2
2022,Golden Plains,B321 Residential non-aggravated burglary,2
2022,Golden Plains,B322 Non-residential non-aggravated burglary,3
2022,Greater Bendigo,B311 Residential aggravated burglary,1
2022,Greater Bendigo,B321 Residential non-aggravated burglary,4
2022,Greater Bendigo,B322 Non-residential non-aggravated burglary,8
2022,Greater Geelong,B311 Residential aggravated burglary,1
2022,Greater Geelong,B321 Residential non-aggravated burglary,6
2022,Greater Geelong,B322 Non-residential non-aggravated burglary,8
2022,Hepburn,B321 Residential non-aggravated burglary,4
2022,Hepburn,B322 Non-residential non-aggravated burglary,1
2022,Hindmarsh,B321 Residential non-aggravated burglary,1
2022,Hindmarsh,B322 Non-residential non-aggravated burglary,1
2022,Horsham,B321 Residential non-aggravated burglary,3
2022,Horsham,B322 Non-residential non-aggravated burglary,2
2022,Loddon,B321 Residential non-aggravated burglary,4
2022,Loddon,B322 Non-residential non-aggravated burglary,2
2022,Macedon Ranges,B321 Residential non-aggravated burglary,8
2022,Macedon Ranges,B322 Non-residential non-aggravated burglary,3
2022,Mildura,B312 Non-residential aggravated burglary,2
2022,Mildura,B321 Residential non-aggravated burglary,6
2022,Mildura,B322 Non-residential non-aggravated burglary,9
2022,Moorabool,B321 Residential non-aggravated burglary,5
2022,Moorabool,B322 Non-residential non-aggravated burglary,5
2022,Mount Alexander,B321 Residential non-aggravated burglary,3
2022,Mount Alexander,B322 Non-residential non-aggravated burglary,1
2022,Moyne,B321 Residential non-aggravated burglary,3
2022,Moyne,B322 Non-residential non-aggravated burglary,2
2022,Northern Grampians,B321 Residential non-aggravated burglary,1
2022,Northern Grampians,B322 Non-residential non-aggravated burglary,1
2022,Pyrenees,B321 Residential non-aggravated burglary,6
2022,Surf Coast,B321 Residential non-aggravated burglary,2
2022,Swan Hill,B321 Residential non-aggravated burglary,5
2022,Swan Hill,B322 Non-residential non-aggravated burglary,3
2022,Warrnambool,B321 Residential non-aggravated burglary,1
2022,West Wimmera,B321 Residential non-aggravated burglary,1
2022,West Wimmera,B322 Non-residential non-aggravated burglary,1
2021,Brimbank,B321 Residential non-aggravated burglary,1
2021,Brimbank,B322 Non-residential non-aggravated burglary,1
2021,Darebin,B322 Non-residential non-aggravated burglary,1
2021,Hume,B321 Residential non-aggravated burglary,4
2021,Hume,B322 Non-residential non-aggravated burglary,2
2021,Melton,B321 Residential non-aggravated burglary,5
2021,Melton,B322 Non-residential non-aggravated burglary,3
2021,Merri-bek,B322 Non-residential non-aggravated burglary,1
2021,Nillumbik,B321 Residential non-aggravated burglary,1
2021,Whittlesea,B321 Residential non-aggravated burglary,1
2021,Whittlesea,B322 Non-residential non-aggravated burglary,1
2021,Wyndham,B321 Residential non-aggravated burglary,6
2021,Wyndham,B322 Non-residential non-aggravated burglary,3
2021,Yarra,B321 Residential non-aggravated burglary,1
2021,Alpine,B321 Residential non-aggravated burglary,1
2021,Bass Coast,B321 Residential non-aggravated burglary,5
2021,Bass Coast,B322 Non-residential non-aggravated burglary,5
2021,Baw Baw,B321 Residential non-aggravated burglary,10
2021,Baw Baw,B322 Non-residential non-aggravated burglary,9
2021,Benalla,B321 Residential non-aggravated burglary,5
2021,Benalla,B322 Non-residential non-aggravated burglary,1
2021,East Gippsland,B321 Residential non-aggravated burglary,5
2021,East Gippsland,B322 Non-residential non-aggravated burglary,11
2021,Greater Shepparton,B311 Residential aggravated burglary,1
2021,Greater Shepparton,B321 Residential non-aggravated burglary,12
2021,Greater Shepparton,B322 Non-residential non-aggravated burglary,7
2021,Indigo,B321 Residential non-aggravated burglary,6
2021,Indigo,B322 Non-residential non-aggravated burglary,3
2021,Knox,B322 Non-residential non-aggravated burglary,2
2021,Latrobe,B321 Residential non-aggravated burglary,4
2021,Latrobe,B322 Non-residential non-aggravated burglary,4
2021,Manningham,B322 Non-residential non-aggravated burglary,1
2021,Mansfield,B322 Non-residential non-aggravated burglary,1
2021,Mitchell,B321 Residential non-aggravated burglary,4
2021,Mitchell,B322 Non-residential non-aggravated burglary,11
2021,Moira,B321 Residential non-aggravated burglary,5
2021,Moira,B322 Non-residential non-aggravated burglary,14
2021,Murrindindi,B321 Residential non-aggravated burglary,2
2021,Murrindindi,B322 Non-residential non-aggravated burglary,4
2021,South Gippsland,B321 Residential non-aggravated burglary,6
2021,South Gippsland,B322 Non-residential non-aggravated burglary,5
2021,Strathbogie,B321 Residential non-aggravated burglary,1
2021,Strathbogie,B322 Non-residential non-aggravated burglary,8
2021,Towong,B321 Residential non-aggravated burglary,2
2021,Towong,B322 Non-residential non-aggravated burglary,3
2021,Wangaratta,B311 Residential aggravated burglary,1
2021,Wangaratta,B321 Residential non-aggravated burglary,3
2021,Wangaratta,B322 Non-residential non-aggravated burglary,4
2021,Wellington,B311 Residential aggravated burglary,1
2021,Wellington,B321 Residential non-aggravated burglary,5
2021,Wellington,B322 Non-residential non-aggravated burglary,12
2021,Wodonga,B322 Non-residential non-aggravated burglary,1
2021,Yarra Ranges,B321 Residential non-aggravated burglary,6
2021,Yarra Ranges,B322 Non-residential non-aggravated burglary,6
2021,Cardinia,B321 Residential non-aggravated burglary,17
2021,Cardinia,B322 Non-residential non-aggravated burglary,9
2021,Casey,B321 Residential non-aggravated burglary,12
2021,Casey,B322 Non-residential non-aggravated burglary,5
2021,Frankston,B322 Non-residential non-aggravated burglary,2
2021,Greater Dandenong,B322 Non-residential non-aggravated burglary,1
2021,Kingston,B321 Residential non-aggravated burglary,1
2021,Kingston,B322 Non-residential non-aggravated burglary,1
2021,Mornington Peninsula,B321 Residential non-aggravated burglary,4
2021,Mornington Peninsula,B322 Non-residential non-aggravated burglary,4
2021,Ararat,B321 Residential non-aggravated burglary,3
2021,Ararat,B322 Non-residential non-aggravated burglary,2
2021,Ballarat,B322 Non-residential non-aggravated burglary,4
2021,Buloke,B321 Residential non-aggravated burglary,2
2021,Buloke,B322 Non-residential non-aggravated burglary,3
2021,Campaspe,B321 Residential non-aggravated burglary,3
2021,Campaspe,B322 Non-residential non-aggravated burglary,5
2021,Central Goldfields,B321 Residential non-aggravated burglary,2
2021,Central Goldfields,B322 Non-residential non-aggravated burglary,5
2021,Colac-Otway,B311 Residential aggravated burglary,1
2021,Colac-Otway,B321 Residential non-aggravated burglary,3
2021,Colac-Otway,B322 Non-residential non-aggravated burglary,2
2021,Corangamite,B321 Residential non-aggravated burglary,10
2021,Corangamite,B322 Non-residential non-aggravated burglary,5
2021,Gannawarra,B321 Residential non-aggravated burglary,6
2021,Gannawarra,B322 Non-residential non-aggravated burglary,1
2021,Glenelg,B321 Residential non-aggravated burglary,4
2021,Golden Plains,B321 Residential non-aggravated burglary,2
2021,Golden Plains,B322 Non-residential non-aggravated burglary,7
2021,Greater Bendigo,B312 Non-residential aggravated burglary,1
2021,Greater Bendigo,B321 Residential non-aggravated burglary,1
2021,Greater Bendigo,B322 Non-residential non-aggravated burglary,6
2021,Greater Geelong,B321 Residential non-aggravated burglary,6
2021,Greater Geelong,B322 Non-residential non-aggravated burglary,5
2021,Hepburn,B321 Residential non-aggravated burglary,2
2021,Hepburn,B322 Non-residential non-aggravated burglary,2
2021,Hindmarsh,B321 Residential non-aggravated burglary,6
2021,Hindmarsh,B322 Non-residential non-aggravated burglary,2
2021,Horsham,B312 Non-residential aggravated burglary,1
2021,Horsham,B321 Residential non-aggravated burglary,1
2021,Horsham,B322 Non-residential non-aggravated burglary,1
2021,Loddon,B321 Residential non-aggravated burglary,5
2021,Loddon,B322 Non-residential non-aggravated burglary,5
2021,Macedon Ranges,B321 Residential non-aggravated burglary,5
2021,Macedon Ranges,B322 Non-residential non-aggravated burglary,5
2021,Mildura,B312 Non-residential aggravated burglary,2
2021,Mildura,B321 Residential non-aggravated burglary,13
2021,Mildura,B322 Non-residential non-aggravated burglary,20
2021,Moorabool,B321 Residential non-aggravated burglary,12
2021,Moorabool,B322 Non-residential non-aggravated burglary,8
2021,Mount Alexander,B321 Residential non-aggravated burglary,2
2021,Mount Alexander,B322 Non-residential non-aggravated burglary,2
2021,Moyne,B321 Residential non-aggravated burglary,3
2021,Moyne,B322 Non-residential non-aggravated burglary,2
2021,Northern Grampians,B322 Non-residential non-aggravated burglary,4
2021,Pyrenees,B321 Residential non-aggravated burglary,3
2021,Pyrenees,B322 Non-residential non-aggravated burglary,6
2021,Southern Grampians,B321 Residential non-aggravated burglary,2
2021,Southern Grampians,B322 Non-residential non-aggravated burglary,1
2021,Swan Hill,B321 Residential non-aggravated burglary,1
2021,Swan Hill,B322 Non-residential non-aggravated burglary,2
2021,West Wimmera,B321 Residential non-aggravated burglary,1
2021,West Wimmera,B322 Non-residential non-aggravated burglary,1
2021,Yarriambiack,B321 Residential non-aggravated burglary,1
2021,Yarriambiack,B322 Non-residential non-aggravated burglary,1
2020,Hume,B321 Residential non-aggravated burglary,4
2020,Hume,B322 Non-residential non-aggravated burglary,2
2020,Melton,B321 Residential non-aggravated burglary,6
2020,Melton,B322 Non-residential non-aggravated burglary,7
2020,Moonee Valley,B322 Non-residential non-aggravated burglary,1
2020,Nillumbik,B321 Residential non-aggravated burglary,2
2020,Whittlesea,B321 Residential non-aggravated burglary,6
2020,Whittlesea,B322 Non-residential non-aggravated burglary,1
2020,Wyndham,B321 Residential non-aggravated burglary,3
2020,Wyndham,B322 Non-residential non-aggravated burglary,2
2020,Bass Coast,B321 Residential non-aggravated burglary,11
2020,Bass Coast,B322 Non-residential non-aggravated burglary,2
2020,Baw Baw,B311 Residential aggravated burglary,1
2020,Baw Baw,B321 Residential non-aggravated burglary,21
2020,Baw Baw,B322 Non-residential non-aggravated burglary,10
2020,Benalla,B321 Residential non-aggravated burglary,2
2020,Benalla,B322 Non-residential non-aggravated burglary,3
2020,Boroondara,B322 Non-residential non-aggravated burglary,1
2020,East Gippsland,B321 Residential non-aggravated burglary,1
2020,East Gippsland,B322 Non-residential non-aggravated burglary,4
2020,Greater Shepparton,B321 Residential non-aggravated burglary,13
2020,Greater Shepparton,B322 Non-residential non-aggravated burglary,12
2020,Indigo,B322 Non-residential non-aggravated burglary,5
2020,Knox,B321 Residential non-aggravated burglary,1
2020,Knox,B322 Non-residential non-aggravated burglary,1
2020,Latrobe,B321 Residential non-aggravated burglary,7
2020,Latrobe,B322 Non-residential non-aggravated burglary,8
2020,Mansfield,B322 Non-residential non-aggravated burglary,1
2020,Mitchell,B311 Residential aggravated burglary,1
2020,Mitchell,B321 Residential non-aggravated burglary,5
2020,Mitchell,B322 Non-residential non-aggravated burglary,12
2020,Moira,B321 Residential non-aggravated burglary,6
2020,Moira,B322 Non-residential non-aggravated burglary,10
2020,Murrindindi,B321 Residential non-aggravated burglary,3
2020,Murrindindi,B322 Non-residential non-aggravated burglary,3
2020,South Gippsland,B321 Residential non-aggravated burglary,8
2020,South Gippsland,B322 Non-residential non-aggravated burglary,2
2020,Strathbogie,B321 Residential non-aggravated burglary,8
2020,Strathbogie,B322 Non-residential non-aggravated burglary,4
2020,Towong,B321 Residential non-aggravated burglary,3
2020,Wangaratta,B321 Residential non-aggravated burglary,1
2020,Wellington,B311 Residential aggravated burglary,1
2020,Wellington,B321 Residential non-aggravated burglary,5
2020,Wellington,B322 Non-residential non-aggravated burglary,5
2020,Wodonga,B312 Non-residential aggravated burglary,1
2020,Yarra Ranges,B321 Residential non-aggravated burglary,6
2020,Yarra Ranges,B322 Non-residential non-aggravated burglary,14
2020,Cardinia,B321 Residential non-aggravated burglary,12
2020,Cardinia,B322 Non-residential non-aggravated burglary,12
2020,Casey,B321 Residential non-aggravated burglary,4
2020,Casey,B322 Non-residential non-aggravated burglary,5
2020,Frankston,B322 Non-residential non-aggravated burglary,2
2020,Greater Dandenong,B321 Residential non-aggravated burglary,1
2020,Greater Dandenong,B322 Non-residential non-aggravated burglary,3
2020,Kingston,B322 Non-residential non-aggravated burglary,2
2020,Mornington Peninsula,B311 Residential aggravated burglary,1
2020,Mornington Peninsula,B321 Residential non-aggravated burglary,8
2020,Mornington Peninsula,B322 Non-residential non-aggravated burglary,9
2020,Port Phillip,B322 Non-residential non-aggravated burglary,1
2020,Ararat,B321 Residential non-aggravated burglary,3
2020,Ararat,B322 Non-residential non-aggravated burglary,4
2020,Ballarat,B321 Residential non-aggravated burglary,3
2020,Ballarat,B322 Non-residential non-aggravated burglary,4
2020,Buloke,B321 Residential non-aggravated burglary,3
2020,Buloke,B322 Non-residential non-aggravated burglary,4
2020,Campaspe,B321 Residential non-aggravated burglary,4
2020,Campaspe,B322 Non-residential non-aggravated burglary,9
2020,Central Goldfields,B322 Non-residential non-aggravated burglary,3
2020,Colac-Otway,B321 Residential non-aggravated burglary,8
2020,Colac-Otway,B322 Non-residential non-aggravated burglary,1
2020,Corangamite,B321 Residential non-aggravated burglary,4
2020,Corangamite,B322 Non-residential non-aggravated burglary,7
2020,Gannawarra,B321 Residential non-aggravated burglary,3
2020,Gannawarra,B322 Non-residential non-aggravated burglary,1
2020,Glenelg,B311 Residential aggravated burglary,1
2020,Glenelg,B321 Residential non-aggravated burglary,2
2020,Glenelg,B322 Non-residential non-aggravated burglary,4
2020,Golden Plains,B321 Residential non-aggravated burglary,3
2020,Golden Plains,B322 Non-residential non-aggravated burglary,8
2020,Greater Bendigo,B321 Residential non-aggravated burglary,8
2020,Greater Bendigo,B322 Non-residential non-aggravated burglary,11
2020,Greater Geelong,B321 Residential non-aggravated burglary,5
2020,Greater Geelong,B322 Non-residential non-aggravated burglary,7
2020,Hepburn,B321 Residential non-aggravated burglary,6
2020,Hepburn,B322 Non-residential non-aggravated burglary,2
2020,Hindmarsh,B322 Non-residential non-aggravated burglary,1
2020,Horsham,B321 Residential non-aggravated burglary,1
2020,Horsham,B322 Non-residential non-aggravated burglary,3
2020,Loddon,B321 Residential non-aggravated burglary,2
2020,Loddon,B322 Non-residential non-aggravated burglary,9
2020,Macedon Ranges,B321 Residential non-aggravated burglary,8
2020,Macedon Ranges,B322 Non-residential non-aggravated burglary,8
2020,Mildura,B311 Residential aggravated burglary,1
2020,Mildura,B321 Residential non-aggravated burglary,4
2020,Mildura,B322 Non-residential non-aggravated burglary,7
2020,Moorabool,B321 Residential non-aggravated burglary,12
2020,Moorabool,B322 Non-residential non-aggravated burglary,9
2020,Mount Alexander,B321 Residential non-aggravated burglary,1
2020,Mount Alexander,B322 Non-residential non-aggravated burglary,2
2020,Moyne,B311 Residential aggravated burglary,1
2020,Moyne,B321 Residential non-aggravated burglary,1
2020,Moyne,B322 Non-residential non-aggravated burglary,4
2020,Northern Grampians,B321 Residential non-aggravated burglary,3
2020,Northern Grampians,B322 Non-residential non-aggravated burglary,8
2020,Pyrenees,B321 Residential non-aggravated burglary,2
2020,Pyrenees,B322 Non-residential non-aggravated burglary,3
2020,Southern Grampians,B321 Residential non-aggravated burglary,3
2020,Southern Grampians,B322 Non-residential non-aggravated burglary,4
2020,Surf Coast,B321 Residential non-aggravated burglary,1
2020,Surf Coast,B322 Non-residential non-aggravated burglary,3
2020,Swan Hill,B321 Residential non-aggravated burglary,2
2020,Warrnambool,B321 Residential non-aggravated burglary,1
2020,West Wimmera,B321 Residential non-aggravated burglary,2
2020,West Wimmera,B322 Non-residential non-aggravated burglary,2
2020,Yarriambiack,B321 Residential non-aggravated burglary,6
2020,Yarriambiack,B322 Non-residential non-aggravated burglary,3
2019,Brimbank,B322 Non-residential non-aggravated burglary,1
